_index,lng,lat,lable
1,113.935528,22.55090678,63
2,113.9475916,22.51452494,65
3,114.036301,22.63441175,35
4,113.9096037,22.52356999,1
5,113.9425343,22.53018599,85
6,114.1326278,22.57888698,61
7,114.0518166,22.55182922,20
8,113.9794317,22.54416925,99
9,113.9601637,22.58707962,28
10,113.9520387,22.55852375,51
11,114.0442734,22.6332164,115
12,113.9226665,22.4872854,66
13,113.9104386,22.78648373,17
14,113.9444811,22.52396702,112
15,114.115295,22.56774592,42
16,114.0903599,22.54996386,19
17,114.1106478,22.54548343,76
18,114.133694,22.54771065,91
19,113.9581646,22.55984225,51
20,113.9981587,22.69710235,45
21,113.9551462,22.54173959,9
22,113.8926775,22.55566049,29
23,114.1157759,22.54687817,101
24,114.0841345,22.54512982,102
25,114.1151862,22.56774484,42
26,114.0635066,22.53999838,0
27,114.4252396,22.6352607,24
28,114.1303999,22.6828643,13
29,113.9907634,22.56382444,59
30,113.9319622,22.52971024,43
31,113.9384349,22.52496528,25
32,113.9304256,22.53290881,43
33,113.9563323,22.54508122,9
34,113.9465589,22.54618387,78
35,113.8125329,22.73283909,60
36,113.9109531,22.78502373,17
37,114.0279262,22.63052703,35
38,114.095431,22.54823492,118
39,113.9466397,22.53031049,85
40,114.0940883,22.5505362,118
41,114.0616516,22.55079631,52
42,114.0590312,22.54281037,110
43,114.0774431,22.55072928,108
44,113.9313239,22.51099805,79
45,114.2031361,22.65239909,15
46,114.2574496,22.73000324,2
47,114.2241985,22.72907764,77
48,114.1283603,22.60483416,104
49,113.9123139,22.56464373,36
50,113.8365003,22.73419586,21
51,113.8859909,22.56535127,88
52,113.9076633,22.56949277,84
53,113.8605211,22.76939927,103
54,114.027458,22.660603,74
55,114.0386,22.64509,119
56,114.2382594,22.55716003,67
57,113.960701,22.54128427,9
58,113.9858237,22.53904035,99
59,113.9426905,22.52278606,112
60,113.8867022,22.50667154,55
61,113.9195263,22.48821064,66
62,113.9274658,22.49643689,71
63,113.9284793,22.53909689,81
64,113.9622798,22.54513521,9
65,113.9524004,22.55041129,78
66,113.9395273,22.54770789,63
67,114.1380353,22.55706936,46
68,114.1244671,22.54736992,4
69,114.1166237,22.54747398,101
70,114.1371485,22.56710691,96
71,114.115875,22.55882984,72
72,114.14192,22.55195332,46
73,114.0587438,22.52830239,40
74,114.0701279,22.54822566,54
75,114.0510807,22.55982278,107
76,114.0899025,22.54492559,19
77,114.0319654,22.54114551,47
78,114.0606508,22.57122188,69
79,114.062303,22.55058641,52
80,114.0751513,22.53726812,58
81,114.0334808,22.53227513,80
82,114.0299378,22.53715065,47
83,114.1085884,22.5648228,42
84,114.0489636,22.54701035,20
85,114.0922242,22.55057923,19
86,114.037954,22.53904505,80
87,114.0701842,22.55279055,54
88,114.0885454,22.5477022,19
89,114.0177596,22.55063076,22
90,114.0586358,22.5473636,52
91,114.3494396,22.69258781,10
92,114.2022779,22.64842385,15
93,114.1299935,22.61596848,117
94,114.242577,22.73146844,38
95,113.8960586,22.55950666,64
96,113.8365089,22.73579567,21
97,113.8937926,22.59171052,95
98,113.8575473,22.77060536,103
